Compound	Sample Name	Height	Area	Actual RT	m/z (Delta)	Formula
2-Hydroxyglutarate U-13C neg	P9	4284	141052	3.5	-1.4617 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C neg	P8	3844	231653	13.75	-1.9635 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C neg	P7	3745	118734	10.94	-2.2645 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C neg	P6	328162	5169685	6.55	-.0567 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C neg	P5	4206	173592	6.53	-1.7628 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C neg	P4	125134	1862264	3.86	-1.9635 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C neg	P3	48573	1712936	3.33	-1.5621 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C neg	P2	612746	7306857	7.51	-2.1642 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C neg	P1	4698	176809	15.42	-1.2610 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C neg	solvent_blank_1	8425	134335	3.38	-1.8631 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C pos	solvent_blank_2	0	0	0	0	[13]C5H8O5
2-Hydroxyglutarate U-13C pos	P9	9248	222839	5.54	-.9027 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C pos	P8	10017	363859	2.68	-1.0017 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C pos	P7	11241	382183	7.07	-.3084 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C pos	P6	36688	871300	4	-.9027 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C pos	P5	89755	1650950	4.77	-.8036 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C pos	P4	162259	1943904	6.04	-1.1998 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C pos	P3	27157	604599	3.9	-.3084 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C pos	P2	3687426	51139655	4.91	-.9027 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C pos	P1	10941	541175	2.73	-.9027 (ppm)	[13]C5H8O5
2-Hydroxyglutarate U-13C pos	solvent_blank_1	12859	130763	2.75	-.6055 (ppm)	[13]C5H8O5
3-Hydroxyisobutyrate neg	solvent_blank_2	31024	662468	4.65	.1440 (ppm)	C4H8O3
3-Hydroxyisobutyrate neg	P9	58746	890824	4.64	.2921 (ppm)	C4H8O3
3-Hydroxyisobutyrate neg	P8	517112	8071393	6.19	.5142 (ppm)	C4H8O3
3-Hydroxyisobutyrate neg	P7	415982394	7427546709	4.73	.2181 (ppm)	C4H8O3
3-Hydroxyisobutyrate neg	P6	309085836	4606339309	6.18	.7364 (ppm)	C4H8O3
3-Hydroxyisobutyrate neg	P5	48758	1696647	14.06	.2921 (ppm)	C4H8O3
3-Hydroxyisobutyrate neg	P4	0	0	0	0	C4H8O3
3-Hydroxyisobutyrate neg	P3	122871964	1751147852	5.77	1.5508 (ppm)	C4H8O3
3-Hydroxyisobutyrate neg	P2	235653756	4499063497	4.76	.5883 (ppm)	C4H8O3
3-Hydroxyisobutyrate neg	P1	235874	4906282	4.68	.2181 (ppm)	C4H8O3
3-Hydroxyisobutyrate neg	solvent_blank_1	0	0	0	0	C4H8O3
3-Hydroxyisobutyrate pos	solvent_blank_2	865	3198	5.54	-2.3350 (ppm)	C4H8O3
3-Hydroxyisobutyrate pos	P9	0	0	0	0	C4H8O3
3-Hydroxyisobutyrate pos	P8	3107	11073	9.42	-.8099 (ppm)	C4H8O3
3-Hydroxyisobutyrate pos	P7	126592	762303	7.71	-1.3909 (ppm)	C4H8O3
3-Hydroxyisobutyrate pos	P6	66806	799499	7.61	-.4468 (ppm)	C4H8O3
3-Hydroxyisobutyrate pos	P5	0	0	0	0	C4H8O3
3-Hydroxyisobutyrate pos	P4	0	0	0	0	C4H8O3
3-Hydroxyisobutyrate pos	P3	0	0	0	0	C4H8O3
3-Hydroxyisobutyrate pos	P2	109910	469933	12.08	-1.8993 (ppm)	C4H8O3
3-Hydroxyisobutyrate pos	P1	0	0	0	0	C4H8O3
3-Hydroxyisobutyrate pos	solvent_blank_1	1528	5587	5.8	-.9552 (ppm)	C4H8O3
3-Hydroxyisobutyrate U-13C neg	solvent_blank_2	1058	3935	9.85	-1.2145 (ppm)	[13]C4H8O3
3-Hydroxyisobutyrate U-13C neg	P9	1223	4313	6.78	-.4305 (ppm)	[13]C4H8O3
3-Hydroxyisobutyrate U-13C neg	P8	644	2485	14.15	-.5018 (ppm)	[13]C4H8O3
3-Hydroxyisobutyrate U-13C neg	P7	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C neg	P6	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C neg	P5	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C neg	P4	994	3719	15.31	-.5018 (ppm)	[13]C4H8O3
3-Hydroxyisobutyrate U-13C neg	P3	7437	25491	9.95	3.6317 (ppm)	[13]C4H8O3
3-Hydroxyisobutyrate U-13C neg	P2	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C neg	P1	688	2541	14.25	-1.4996 (ppm)	[13]C4H8O3
3-Hydroxyisobutyrate U-13C neg	solvent_blank_1	1842	6676	3.38	-1.5708 (ppm)	[13]C4H8O3
3-Hydroxyisobutyrate U-13C pos	solvent_blank_2	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C pos	P9	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C pos	P8	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C pos	P7	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C pos	P6	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C pos	P5	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C pos	P4	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C pos	P3	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C pos	P2	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C pos	P1	0	0	0	0	[13]C4H8O3
3-Hydroxyisobutyrate U-13C pos	solvent_blank_1	0	0	0	0	[13]C4H8O3
3-Hydroxypropionate neg	solvent_blank_2	160007	4512505	5.94	.6189 (ppm)	C3H6O3
3-Hydroxypropionate neg	P9	426427	9508313	5.94	.3618 (ppm)	C3H6O3
3-Hydroxypropionate neg	P8	29190822	425707236	7.11	.0190 (ppm)	C3H6O3
3-Hydroxypropionate neg	P7	1125734	19171441	5.96	.2761 (ppm)	C3H6O3
3-Hydroxypropionate neg	P6	7201342	106943926	5.93	.1047 (ppm)	C3H6O3
3-Hydroxypropionate neg	P5	3719926	61386396	10.87	-.3238 (ppm)	C3H6O3
3-Hydroxypropionate neg	P4	808311	16127258	5.94	.8760 (ppm)	C3H6O3
3-Hydroxypropionate neg	P3	170053	10574943	2.74	.5332 (ppm)	C3H6O3
3-Hydroxypropionate neg	P2	2013777	31162061	5.93	.2761 (ppm)	C3H6O3
3-Hydroxypropionate neg	P1	81034706	1259256391	5.94	.5332 (ppm)	C3H6O3
3-Hydroxypropionate neg	solvent_blank_1	0	0	0	0	C3H6O3
3-Hydroxypropionate pos	solvent_blank_2	800	2959	5.6	1.4351 (ppm)	C3H6O3
3-Hydroxypropionate pos	P9	718	2745	12.44	-3.9284 (ppm)	C3H6O3
3-Hydroxypropionate pos	P8	160912	717613	2.65	.2618 (ppm)	C3H6O3
3-Hydroxypropionate pos	P7	0	0	0	0	C3H6O3
3-Hydroxypropionate pos	P6	0	0	0	0	C3H6O3
3-Hydroxypropionate pos	P5	4758	16926	4.07	1.0999 (ppm)	C3H6O3
3-Hydroxypropionate pos	P4	0	0	0	0	C3H6O3
3-Hydroxypropionate pos	P3	11075	39014	6.1	-3.1741 (ppm)	C3H6O3
3-Hydroxypropionate pos	P2	0	0	0	0	C3H6O3
3-Hydroxypropionate pos	P1	0	0	0	0	C3H6O3
3-Hydroxypropionate pos	solvent_blank_1	1651	6006	7.99	-1.4981 (ppm)	C3H6O3
3-Hydroxypropionate U-13C neg	solvent_blank_2	3171	110321	7.9	1.2134 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C neg	P9	7339	271418	8.54	.3844 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C neg	P8	4113	273322	14.4	-.9419 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C neg	P7	11507	185144	8.91	-1.0248 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C neg	P6	5145	202199	7.69	.7160 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C neg	P5	9116	172625	11.39	1.2134 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C neg	P4	7107	241419	13.04	.9647 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C neg	P3	9611	412552	11.08	-.1130 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C neg	P2	7647	298867	11.3	.1357 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C neg	P1	7604	277242	8.58	.6331 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C neg	solvent_blank_1	4225	97489	11.89	.3015 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C pos	solvent_blank_2	0	0	0	0	[13]C3H6O3
3-Hydroxypropionate U-13C pos	P9	0	0	0	0	[13]C3H6O3
3-Hydroxypropionate U-13C pos	P8	0	0	0	0	[13]C3H6O3
3-Hydroxypropionate U-13C pos	P7	0	0	0	0	[13]C3H6O3
3-Hydroxypropionate U-13C pos	P6	0	0	0	0	[13]C3H6O3
3-Hydroxypropionate U-13C pos	P5	3071	10910	10.03	4.1558 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C pos	P4	0	0	0	0	[13]C3H6O3
3-Hydroxypropionate U-13C pos	P3	0	0	0	0	[13]C3H6O3
3-Hydroxypropionate U-13C pos	P2	0	0	0	0	[13]C3H6O3
3-Hydroxypropionate U-13C pos	P1	1326	4864	13.34	-.6304 (ppm)	[13]C3H6O3
3-Hydroxypropionate U-13C pos	solvent_blank_1	0	0	0	0	[13]C3H6O3
3-Phosphoglycerate neg	solvent_blank_2	2974	38662	13.34	-1.6674 (ppm)	C3H7O7P
3-Phosphoglycerate neg	P9	15504	544697	11.02	-1.8323 (ppm)	C3H7O7P
3-Phosphoglycerate neg	P8	6935	163325	12.24	-1.0075 (ppm)	C3H7O7P
3-Phosphoglycerate neg	P7	19585	438135	9.67	-1.5849 (ppm)	C3H7O7P
3-Phosphoglycerate neg	P6	132103	3156688	11.16	-1.5849 (ppm)	C3H7O7P
3-Phosphoglycerate neg	P5	54649790	825901774	11.42	-1.3374 (ppm)	C3H7O7P
3-Phosphoglycerate neg	P4	87654	3122643	11.51	-1.0075 (ppm)	C3H7O7P
3-Phosphoglycerate neg	P3	94277	2117033	11.41	-1.2549 (ppm)	C3H7O7P
3-Phosphoglycerate neg	P2	34332	1019385	10.49	-1.5024 (ppm)	C3H7O7P
3-Phosphoglycerate neg	P1	7679	422455	10.3	-1.9148 (ppm)	C3H7O7P
3-Phosphoglycerate neg	solvent_blank_1	10676	477625	8.57	-1.8323 (ppm)	C3H7O7P
3-Phosphoglycerate pos	solvent_blank_2	858	3258	15.81	1.3531 (ppm)	C3H7O7P
3-Phosphoglycerate pos	P9	13448	47346	6.51	-1.1765 (ppm)	C3H7O7P
3-Phosphoglycerate pos	P8	680	2636	15.36	-.9317 (ppm)	C3H7O7P
3-Phosphoglycerate pos	P7	1291	14908	16.81	1.0267 (ppm)	C3H7O7P
3-Phosphoglycerate pos	P6	2415	35561	13.76	1.1083 (ppm)	C3H7O7P
3-Phosphoglycerate pos	P5	6234191	90550229	11.43	.3739 (ppm)	C3H7O7P
3-Phosphoglycerate pos	P4	3000	18203	11.91	-.0341 (ppm)	C3H7O7P
3-Phosphoglycerate pos	P3	6621	58329	11.51	-.2789 (ppm)	C3H7O7P
3-Phosphoglycerate pos	P2	1533	10600	15.57	.7003 (ppm)	C3H7O7P
3-Phosphoglycerate pos	P1	60398	260685	10.2	4.7802 (ppm)	C3H7O7P
3-Phosphoglycerate pos	solvent_blank_1	2644	51315	8.91	.9451 (ppm)	C3H7O7P
3-Phosphoglycerate U-13C neg	solvent_blank_2	0	0	0	0	[13]C3H7O7P
3-Phosphoglycerate U-13C neg	P9	724	2696	5.46	1.5291 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C neg	P8	1639	5847	9.4	.9609 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C neg	P7	0	0	0	0	[13]C3H7O7P
3-Phosphoglycerate U-13C neg	P6	0	0	0	0	[13]C3H7O7P
3-Phosphoglycerate U-13C neg	P5	0	0	0	0	[13]C3H7O7P
3-Phosphoglycerate U-13C neg	P4	33366	498482	9.73	1.6102 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C neg	P3	3209	11239	1.91	-.9059 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C neg	P2	852	3078	6.77	-.1754 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C neg	P1	0	0	0	0	[13]C3H7O7P
3-Phosphoglycerate U-13C neg	solvent_blank_1	1189	4315	7.77	-1.9611 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C pos	solvent_blank_2	745	2744	3.79	1.0672 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C pos	P9	794	2887	3.01	1.9506 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C pos	P8	733	2794	10.47	-1.6631 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C pos	P7	979	6845	14.42	-.6995 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C pos	P6	15898	54397	5.86	4.1188 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C pos	P5	1598	5942	6.45	2.0309 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C pos	P4	29877	162202	9.61	-1.6631 (ppm)	[13]C3H7O7P
3-Phosphoglycerate U-13C pos	P3	0	0	0	0	[13]C3H7O7P
3-Phosphoglycerate U-13C pos	P2	0	0	0	0	[13]C3H7O7P
3-Phosphoglycerate U-13C pos	P1	0	0	0	0	[13]C3H7O7P
3-Phosphoglycerate U-13C pos	solvent_blank_1	1145	4212	14.24	-.6192 (ppm)	[13]C3H7O7P
Acetyl CoA neg	solvent_blank_2	1891	6947	8.71	-3.9655 (ppm)	C23H38N7O17P3S
Acetyl CoA neg	P9	21734692	306582524	8.48	-.4912 (ppm)	C23H38N7O17P3S
Acetyl CoA neg	P8	0	0	0	0	C23H38N7O17P3S
Acetyl CoA neg	P7	1608	5903	5.36	2.1522 (ppm)	C23H38N7O17P3S
Acetyl CoA neg	P6	1171	4287	8.6	2.7565 (ppm)	C23H38N7O17P3S
Acetyl CoA neg	P5	0	0	0	0	C23H38N7O17P3S
Acetyl CoA neg	P4	0	0	0	0	C23H38N7O17P3S
Acetyl CoA neg	P3	1080	3996	12.86	-1.3976 (ppm)	C23H38N7O17P3S
Acetyl CoA neg	P2	0	0	0	0	C23H38N7O17P3S
Acetyl CoA neg	P1	0	0	0	0	C23H38N7O17P3S
Acetyl CoA neg	solvent_blank_1	1295	8615	2.79	1.9256 (ppm)	C23H38N7O17P3S
Acetyl CoA pos	solvent_blank_2	4522	78208	8.48	1.4397 (ppm)	C23H38N7O17P3S
Acetyl CoA pos	P9	42587121	638076969	8.5	.0835 (ppm)	C23H38N7O17P3S
Acetyl CoA pos	P8	0	0	0	0	C23H38N7O17P3S
Acetyl CoA pos	P7	1428	5383	16.5	.9876 (ppm)	C23H38N7O17P3S
Acetyl CoA pos	P6	51887	176762	6.99	-.4438 (ppm)	C23H38N7O17P3S
Acetyl CoA pos	P5	1957	7293	15.62	2.0424 (ppm)	C23H38N7O17P3S
Acetyl CoA pos	P4	0	0	0	0	C23H38N7O17P3S
Acetyl CoA pos	P3	17881	120355	8.45	-1.2726 (ppm)	C23H38N7O17P3S
Acetyl CoA pos	P2	0	0	0	0	C23H38N7O17P3S
Acetyl CoA pos	P1	4694	16930	13.67	1.7410 (ppm)	C23H38N7O17P3S
Acetyl CoA pos	solvent_blank_1	5878	132420	8.59	1.8163 (ppm)	C23H38N7O17P3S
Acetyl CoA U-13C neg	solvent_blank_2	920	3426	10.64	3.4003 (ppm)	[13]C23H38N7O17P3S
Acetyl CoA U-13C neg	P9	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C neg	P8	843	3228	14.22	-3.3553 (ppm)	[13]C23H38N7O17P3S
Acetyl CoA U-13C neg	P7	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C neg	P6	978	3689	15.82	-4.3099 (ppm)	[13]C23H38N7O17P3S
Acetyl CoA U-13C neg	P5	1156	4193	13.56	-2.8413 (ppm)	[13]C23H38N7O17P3S
Acetyl CoA U-13C neg	P4	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C neg	P3	1538	5627	4.9	-3.2084 (ppm)	[13]C23H38N7O17P3S
Acetyl CoA U-13C neg	P2	1109	4020	2.5	4.2815 (ppm)	[13]C23H38N7O17P3S
Acetyl CoA U-13C neg	P1	1161	4283	14.34	-1.5930 (ppm)	[13]C23H38N7O17P3S
Acetyl CoA U-13C neg	solvent_blank_1	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C pos	solvent_blank_2	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C pos	P9	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C pos	P8	14654	50355	5.55	2.7777 (ppm)	[13]C23H38N7O17P3S
Acetyl CoA U-13C pos	P7	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C pos	P6	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C pos	P5	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C pos	P4	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C pos	P3	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C pos	P2	0	0	0	0	[13]C23H38N7O17P3S
Acetyl CoA U-13C pos	P1	4127	14970	10.6	3.4370 (ppm)	[13]C23H38N7O17P3S
Acetyl CoA U-13C pos	solvent_blank_1	0	0	0	0	[13]C23H38N7O17P3S
Acetylalanine neg	solvent_blank_2	16057	489667	12.52	-.9820 (ppm)	C5H9NO3
Acetylalanine neg	P9	32809	1363640	13.79	-.9820 (ppm)	C5H9NO3
Acetylalanine neg	P8	49025	1303622	12.18	-.2781 (ppm)	C5H9NO3
Acetylalanine neg	P7	84061	2619860	4.98	-.3954 (ppm)	C5H9NO3
Acetylalanine neg	P6	796917	10401631	6.02	-.8647 (ppm)	C5H9NO3
Acetylalanine neg	P5	127979	1961365	5.53	-.5127 (ppm)	C5H9NO3
Acetylalanine neg	P4	121865	7558637	4.53	-.3954 (ppm)	C5H9NO3
Acetylalanine neg	P3	364273506	5703202442	5.58	-.6300 (ppm)	C5H9NO3
Acetylalanine neg	P2	0	0	0	0	C5H9NO3
Acetylalanine neg	P1	41714014	553151556	9.36	-.5127 (ppm)	C5H9NO3
Acetylalanine neg	solvent_blank_1	122944	4250890	1.93	-.6300 (ppm)	C5H9NO3
Acetylalanine pos	solvent_blank_2	0	0	0	0	C5H9NO3
Acetylalanine pos	P9	28800	1133482	7.45	-.2217 (ppm)	C5H9NO3
Acetylalanine pos	P8	30472	733883	8.39	-.5683 (ppm)	C5H9NO3
Acetylalanine pos	P7	36185	1485447	9.29	1.9736 (ppm)	C5H9NO3
Acetylalanine pos	P6	957138	44596753	3.78	.4715 (ppm)	C5H9NO3
Acetylalanine pos	P5	35090	2082320	3.5	-.5683 (ppm)	C5H9NO3
Acetylalanine pos	P4	1002901	10049178	9.52	.5871 (ppm)	C5H9NO3
Acetylalanine pos	P3	30029643	544337958	5.56	.2405 (ppm)	C5H9NO3
Acetylalanine pos	P2	2034948	30117853	9.53	.4715 (ppm)	C5H9NO3
Acetylalanine pos	P1	686816256	10601699535	9.35	1.9736 (ppm)	C5H9NO3
Acetylalanine pos	solvent_blank_1	78223	2130952	5.26	.1249 (ppm)	C5H9NO3
Acetylalanine U-13C neg	solvent_blank_2	1966	7243	3.59	-1.1759 (ppm)	[13]C5H9NO3
Acetylalanine U-13C neg	P9	2810	42224	1.29	-1.1759 (ppm)	[13]C5H9NO3
Acetylalanine U-13C neg	P8	7436	68003	3.63	-1.4018 (ppm)	[13]C5H9NO3
Acetylalanine U-13C neg	P7	904	3394	0.42	-.7240 (ppm)	[13]C5H9NO3
Acetylalanine U-13C neg	P6	270399	4853077	3.59	-1.0629 (ppm)	[13]C5H9NO3
Acetylalanine U-13C neg	P5	969	3586	6.32	-1.6278 (ppm)	[13]C5H9NO3
Acetylalanine U-13C neg	P4	499818	7799117	3.75	-1.0629 (ppm)	[13]C5H9NO3
Acetylalanine U-13C neg	P3	250956	6620425	3.51	-1.4018 (ppm)	[13]C5H9NO3
Acetylalanine U-13C neg	P2	639670	5667358	3.82	-1.1759 (ppm)	[13]C5H9NO3
Acetylalanine U-13C neg	P1	2454	9009	3.58	-1.0629 (ppm)	[13]C5H9NO3
Acetylalanine U-13C neg	solvent_blank_1	5954	39645	3.56	-1.7407 (ppm)	[13]C5H9NO3
Acetylalanine U-13C pos	solvent_blank_2	3015	44381	3.82	-1.6649 (ppm)	[13]C5H9NO3
