Cell line	PCV (uL)	% of Theoretical PCV	Cell type	Theoretical PCV (uL)	Replicate	Speed (g)	Time (min)	Centrifugation step
H1299	2.7	127.9620853	Adherent	2.11	6	4696	5	3
H1299	2.2	104.2654028	Adherent	2.11	1	17000	1	4
H1299	2.5	118.4834123	Adherent	2.11	2	17000	1	4
H1299	2.3	109.0047393	Adherent	2.11	3	17000	1	4
H1299	2.2	104.2654028	Adherent	2.11	4	17000	1	4
H1299	2.5	118.4834123	Adherent	2.11	5	17000	1	4
H1299	2.6	123.2227488	Adherent	2.11	6	17000	1	4
H1299	2.2	104.2654028	Adherent	2.11	1	17000	5	5
H1299	2.4	113.7440758	Adherent	2.11	2	17000	5	5
H1299	2.3	109.0047393	Adherent	2.11	3	17000	5	5
H1299	2.2	104.2654028	Adherent	2.11	4	17000	5	5
H1299	2.5	118.4834123	Adherent	2.11	5	17000	5	5
H1299	2.5	118.4834123	Adherent	2.11	6	17000	5	5
A549	3	136.3636364	Adherent	2.2	1	2000	1	1
A549	2.6	118.1818182	Adherent	2.2	2	2000	1	1
A549	2.6	118.1818182	Adherent	2.2	3	2000	1	1
A549	2.4	109.0909091	Adherent	2.2	4	2000	1	1
A549	2.4	109.0909091	Adherent	2.2	5	2000	1	1
A549	2.5	113.6363636	Adherent	2.2	6	2000	1	1
A549	2.8	127.2727273	Adherent	2.2	1	4696	1	2
A549	2.5	113.6363636	Adherent	2.2	2	4696	1	2
A549	2.5	113.6363636	Adherent	2.2	3	4696	1	2
A549	2.3	104.5454545	Adherent	2.2	4	4696	1	2
A549	2.3	104.5454545	Adherent	2.2	5	4696	1	2
A549	2.4	109.0909091	Adherent	2.2	6	4696	1	2
A549	2.6	118.1818182	Adherent	2.2	1	4696	5	3
A549	2.3	104.5454545	Adherent	2.2	2	4696	5	3
A549	2.4	109.0909091	Adherent	2.2	3	4696	5	3
A549	2.2	100	Adherent	2.2	4	4696	5	3
A549	2.1	95.45454545	Adherent	2.2	5	4696	5	3
A549	2.3	104.5454545	Adherent	2.2	6	4696	5	3
A549	2.4	109.0909091	Adherent	2.2	1	17000	1	4
A549	2.3	104.5454545	Adherent	2.2	2	17000	1	4
A549	2.3	104.5454545	Adherent	2.2	3	17000	1	4
A549	2	90.90909091	Adherent	2.2	4	17000	1	4
A549	2	90.90909091	Adherent	2.2	5	17000	1	4
A549	2.2	100	Adherent	2.2	6	17000	1	4
A549	2.3	104.5454545	Adherent	2.2	1	17000	5	5
A549	2.1	95.45454545	Adherent	2.2	2	17000	5	5
A549	2.1	95.45454545	Adherent	2.2	3	17000	5	5
A549	1.9	86.36363636	Adherent	2.2	4	17000	5	5
A549	1.9	86.36363636	Adherent	2.2	5	17000	5	5
A549	2.1	95.45454545	Adherent	2.2	6	17000	5	5
TF1	2.4	109.5890411	Suspension	2.19	1	2000	1	1
TF1	2.6	118.7214612	Suspension	2.19	2	2000	1	1
TF1	2.6	118.7214612	Suspension	2.19	3	2000	1	1
TF1	2.7	123.2876712	Suspension	2.19	4	2000	1	1
TF1	2.4	109.5890411	Suspension	2.19	5	2000	1	1
TF1	2.5	114.1552511	Suspension	2.19	6	2000	1	1
TF1	2.1	95.89041096	Suspension	2.19	1	4696	1	2
TF1	2.4	109.5890411	Suspension	2.19	2	4696	1	2
TF1	2.4	109.5890411	Suspension	2.19	3	4696	1	2
TF1	2.5	114.1552511	Suspension	2.19	4	4696	1	2
TF1	2.1	95.89041096	Suspension	2.19	5	4696	1	2
TF1	2.2	100.456621	Suspension	2.19	6	4696	1	2
TF1	2.0	91.32420091	Suspension	2.19	1	4696	5	3
TF1	2.2	100.456621	Suspension	2.19	2	4696	5	3
TF1	2.2	100.456621	Suspension	2.19	3	4696	5	3
TF1	2.3	105.0228311	Suspension	2.19	4	4696	5	3
TF1	2.0	91.32420091	Suspension	2.19	5	4696	5	3
TF1	2.0	91.32420091	Suspension	2.19	6	4696	5	3
TF1	1.8	82.19178082	Suspension	2.19	1	17000	1	4
TF1	2	91.32420091	Suspension	2.19	2	17000	1	4
TF1	2	91.32420091	Suspension	2.19	3	17000	1	4
TF1	2.1	95.89041096	Suspension	2.19	4	17000	1	4
TF1	1.9	86.75799087	Suspension	2.19	5	17000	1	4
TF1	1.9	86.75799087	Suspension	2.19	6	17000	1	4
TF1	1.8	82.19178082	Suspension	2.19	1	17000	5	5
TF1	2	91.32420091	Suspension	2.19	2	17000	5	5
TF1	2	91.32420091	Suspension	2.19	3	17000	5	5
TF1	2.1	95.89041096	Suspension	2.19	4	17000	5	5
TF1	1.8	82.19178082	Suspension	2.19	5	17000	5	5
TF1	1.9	86.75799087	Suspension	2.19	6	17000	5	5
JURKAT	2.4	112.6760563	Suspension	2.13	1	2000	1	1
JURKAT	2.4	112.6760563	Suspension	2.13	2	2000	1	1
JURKAT	2.4	112.6760563	Suspension	2.13	3	2000	1	1
JURKAT	2.3	107.9812207	Suspension	2.13	4	2000	1	1
JURKAT	2.3	107.9812207	Suspension	2.13	5	2000	1	1
JURKAT	2.6	122.0657277	Suspension	2.13	6	2000	1	1
JURKAT	2.1	98.5915493	Suspension	2.13	1	4696	1	2
JURKAT	2.2	103.286385	Suspension	2.13	2	4696	1	2
JURKAT	2.1	98.5915493	Suspension	2.13	3	4696	1	2
JURKAT	2.0	93.89671362	Suspension	2.13	4	4696	1	2
JURKAT	2.1	98.5915493	Suspension	2.13	5	4696	1	2
JURKAT	2.5	117.370892	Suspension	2.13	6	4696	1	2
JURKAT	2.0	93.89671362	Suspension	2.13	1	4696	5	3
JURKAT	2.0	93.89671362	Suspension	2.13	2	4696	5	3
JURKAT	2.0	93.89671362	Suspension	2.13	3	4696	5	3
JURKAT	1.9	89.20187793	Suspension	2.13	4	4696	5	3
JURKAT	2.0	93.89671362	Suspension	2.13	5	4696	5	3
JURKAT	2.2	103.286385	Suspension	2.13	6	4696	5	3
JURKAT	1.9	89.20187793	Suspension	2.13	1	17000	1	4
JURKAT	2	93.89671362	Suspension	2.13	2	17000	1	4
JURKAT	2	93.89671362	Suspension	2.13	3	17000	1	4
JURKAT	1.9	89.20187793	Suspension	2.13	4	17000	1	4
JURKAT	1.9	89.20187793	Suspension	2.13	5	17000	1	4
JURKAT	2.2	103.286385	Suspension	2.13	6	17000	1	4
JURKAT	1.8	84.50704225	Suspension	2.13	1	17000	5	5
JURKAT	2	93.89671362	Suspension	2.13	2	17000	5	5
JURKAT	2	93.89671362	Suspension	2.13	3	17000	5	5
JURKAT	1.8	84.50704225	Suspension	2.13	4	17000	5	5
JURKAT	1.8	84.50704225	Suspension	2.13	5	17000	5	5
JURKAT	2.2	103.286385	Suspension	2.13	6	17000	5	5
